name,address,lng,lat
國立政治大學,[116]臺北市文山區指南路二段64號,121.5761281,24.9873313
國立清華大學,[300]新竹市東區光復路二段101號,120.9910396,24.7979773
國立臺灣大學,[106]臺北市大安區羅斯福路四段1號,121.5397264,25.0186526
國立臺灣師範大學,[106]臺北市大安區和平東路一段162號,121.5274888,25.0259513
國立成功大學,[701]臺南市東區大學路1號,120.2192745,22.9940267
國立中興大學,[402]臺中市南區興大路145號,120.6774162,24.124167
國立交通大學,[300]新竹市東區大學路1001號,120.9999097,24.7859852
國立中央大學,[320]桃園市中壢區中大路300號,121.1956658,24.96842
國立中山大學,[804]高雄市鼓山區蓮海路70號,120.2674102,22.6270179
國立臺灣海洋大學,[202]基隆市中正區北寧路2號,121.7724527,25.1508704
國立中正大學,[621]嘉義縣民雄鄉三興村7鄰大學路一段168號,120.473388,23.561461
國立高雄師範大學,[802]高雄市苓雅區和平一路116號,120.3207609,22.6259166
國立彰化師範大學,[500]彰化縣彰化市進德路1號,120.5584256,24.0826667
國立陽明大學,[112]臺北市北投區立農街二段155號,121.5133357,25.1196326
國立臺北大學,[237]新北市三峽區大學路151號,121.3717858,24.9455821
國立嘉義大學,[600]嘉義市東區鹿寮里學府路300號,120.4836329,23.465364
國立高雄大學,[811]高雄市楠梓區高雄大學路700號,120.2851781,22.7344154
國立東華大學,[974]花蓮縣壽豐鄉志學村大學路二段1號,121.5433333,23.8943519
國立暨南國際大學,[545]南投縣埔里鎮大學路1號,120.9268734,23.9492528
國立臺灣科技大學,[106]臺北市大安區基隆路四段43號,121.5411187,25.0132497
國立雲林科技大學,[640]雲林縣斗六市大學路三段123號,120.5340119,23.6958498
國立屏東科技大學,[912]屏東縣內埔鄉老埤村學府路1號,120.609966,22.64303
國立臺北科技大學,[106]臺北市大安區忠孝東路三段1號,121.5382938,25.0420753
國立高雄第一科技大學,[824]高雄市燕巢區大學路1號 ,120.335061,22.7556941
國立高雄應用科技大學,[807]高雄市三民區建工路415號,120.3286936,22.6512281
國立臺北藝術大學,[112]臺北市北投區學園路1號,121.4693489,25.1324572
國立臺灣藝術大學,[220]新北市板橋區大觀路一段59號,121.4476306,25.0059488
國立臺東大學,[950]臺東縣臺東市大學路二段369號,121.0675869,22.7356392
國立宜蘭大學,[260]宜蘭縣宜蘭市神農路一段1號,121.747584,24.7462934
國立聯合大學,[360]苗栗縣苗栗市恭敬里聯大1號,120.81232,24.5458044
國立虎尾科技大學,[632]雲林縣虎尾鎮文化路64號,120.4301509,23.7031081
國立高雄海洋科技大學,[811]高雄市楠梓區海專路142號,120.314634,22.7247406
國立臺南藝術大學,[720]臺南市官田區大崎里66號,120.374319,23.186013
國立臺南大學,[700]臺南市中西區樹林街二段33號,120.2082213,22.9851566
國立臺北教育大學,[106]臺北市大安區和平東路二段134號,121.5446374,25.0246244
國立清華大學南大校區,[300]新竹市東區南大路521號,120.9650979,24.7945248
國立臺中教育大學,[403]臺中市西區民生路140號,120.672099,24.1421547
國立澎湖科技大學,[880]澎湖縣馬公市六合路300號,119.580949,23.575495
國立勤益科技大學,[411]臺中市太平區坪林里中山路二段57號,120.7333578,24.1465581
國立體育大學,[333]桃園市龜山區文化一路250號,121.3836827,25.0348848
國立臺北護理健康大學,[112]臺北市北投區明德路365號,121.5200316,25.1177379
國立高雄餐旅大學,[812]高雄市小港區松和路1號,120.371636,22.565738
國立金門大學,[892]金門縣金寧鄉大學路1號,118.325279,24.446675
國立臺灣體育運動大學,[404]臺中市北區雙十路一段16號,120.6874206,24.1489449
國立臺中科技大學,[404]臺中市北區三民路三段129號,120.6839638,24.1500235
國立臺北商業大學,[100]臺北市中正區濟南路一段321號,121.5256616,25.0418977
國立屏東大學,[900]屏東縣屏東市民生路4-18號,120.5045457,22.665476
東海大學,[407]臺中市西屯區臺灣大道四段1727號,120.602728,24.1824159
輔仁大學,[242]新北市新莊區中正路510號,121.433255,25.0336491
東吳大學,[111]臺北市士林區臨溪路70號,121.545748,25.094415
中原大學,[320]桃園市中壢區中北路200號,121.240539,24.9574977
淡江大學,[251]新北市淡水區英專路151號,121.4483442,25.1731385
中國文化大學,[111]臺北市士林區華岡路55號,121.5410056,25.1377176
逢甲大學,[407]臺中市西屯區文華路100號,120.6464147,24.1816347
靜宜大學,[433]臺中市沙鹿區臺灣大道7段200號,120.5797081,24.2263848
長庚大學,[333]桃園市龜山區文化一路259號,121.3874884,25.0334238
元智大學,[320]桃園市中壢區遠東路135號,121.263482,24.9701475
中華大學,[300]新竹市香山區東香里五福路二段707號,120.9526109,24.7569467
大葉大學,[515]彰化縣大村鄉學府路168號,120.5947144,23.9992038
華梵大學,[223]新北市石碇區華梵路1號,121.692123,24.980779
義守大學,[840]高雄市大樹區三和里學城路一段1號,120.4069259,22.7296392
世新大學,[116]臺北市文山區木柵路一段17巷1號,121.5425268,24.9884933
銘傳大學,[111]臺北市士林區中山北路五段250號,121.5275514,25.0860676
實踐大學,[104]臺北市中山區大直街70號,121.5457421,25.0846197
朝陽科技大學,[413]臺中市霧峰區吉峰東路168號,120.7154143,24.0728212
