name,address,lng,lat
國立華僑高級中等學校,[220]新北市板橋區大觀路一段32號,121.4475624,25.007288
私立淡江高中,[251]新北市淡水區真理街26號,121.4352261,25.1753593
私立康橋高中,[231]新北市新店區華城路800號,121.496968,24.9120788
私立金陵女中,[241]新北市三重區重新路五段656號,121.466942,25.04299
新北市私立裕德高級中等學校,[236]新北市土城區擺接堡路1號,121.4394801,24.9830118
財團法人南山高中,[235]新北市中和區廣福路41號,121.5034274,25.0015811
財團法人恆毅高中,[242]新北市新莊區中正路108號,121.4537305,25.0365928
私立聖心女中,[249]新北市八里區龍米路一段263號,121.4500257,25.1354248
私立崇義高中,[221]新北市汐止區大同路三段68號,121.6691257,25.0769646
財團法人中華高中,[236]新北市土城區城林路2號,121.4373553,24.9755805
私立東海高中,[241]新北市三重區忠孝路三段93巷12號,121.4788449,25.0647366
私立格致高中,[241]新北市三重區大智街260號,121.4886747,25.0738323
私立醒吾高中,[244]新北市林口區粉寮路一段75巷80號,121.3971781,25.0792185
私立徐匯高中,[247]新北市蘆洲區中山一路1號,121.480124,25.0801069
財團法人崇光女中,[231]新北市新店區三民路18號,121.538874,24.9715031
私立光仁高中,[220]新北市板橋區中山路二段255巷18號,121.4762544,25.0184272
私立竹林高中,[235]新北市中和區華新街143巷12號,121.5060253,24.9799183
私立及人高中,[231]新北市新店區安興路1號,121.51489,24.966799
財團法人辭修高中,[237]新北市三峽區溪東路251號,121.4092923,24.9319363
私立時雨高中,[224]新北市瑞芳區銅山里祈堂路217號,121.8553198,25.1098318
私立樹人家商,[238]新北市樹林區大安路216號,121.4192267,24.9943874
私立復興商工,[234]新北市永和區秀朗路一段201號,121.5182465,25.0034336
私立南強工商,[231]新北市新店區文化路42號,121.5447918,24.9807537
私立穀保家商,[241]新北市三重區中正北路560巷38號,121.4710028,25.0693313
私立開明工商,[231]新北市新店區寶中路49號,121.5462266,24.9800534
私立智光商工,[234]新北市永和區中正路100號,121.5142997,24.9956844
私立清傳高商,[241]新北市三重區五谷王北街141巷1號,121.4768683,25.0520106
私立能仁家商,[231]新北市新店區文中路53巷10號,121.5401746,24.9579933
私立豫章工商,[220]新北市板橋區四川路一段391號,121.4583421,24.9971823
私立莊敬工家,[231]新北市新店區民生路45號,121.5320166,24.98555
私立中華商海,[207]新北市萬里區瑪鋉路15號,121.6872904,25.1755016
市立泰山高中,[243]新北市泰山區辭修路7號,121.4302572,25.0577055
市立板橋高中,[220]新北市板橋區文化路一段25號,121.4584769,25.0122662
市立新店高中,[231]新北市新店區中央路93號,121.5318103,24.975642
市立中和高中,[235]新北市中和區連城路460號,121.478425,24.9940265
市立新莊高中,[242]新北市新莊區中平路135號,121.44464,25.0482258
市立新北高中,[241]新北市三重區三信路1號,121.4896872,25.0873314
市立林口高中,[244]新北市林口區仁愛路二段173號,121.3807011,25.0734747
市立瑞芳高工,[224]新北市瑞芳區瑞芳街60號,121.8047422,25.1108198
市立三重商工,[241]新北市三重區中正北路163號,121.4802136,25.069017
市立新北高工,[236]新北市土城區學府路一段241號,121.4513618,24.984116
市立淡水商工,[251]新北市淡水區商工路307號,121.4541312,25.1867923
市立海山高中,[220]新北市板橋區漢生東路215號,121.4719268,25.0095167
市立三重高中,[241]新北市三重區集美街212號,121.4914967,25.0547411
市立永平高中,[234]新北市永和區永平路205號,121.5087055,25.0107014
市立樹林高中,[238]新北市樹林區中華路8號,121.4223883,24.9829633
市立明德高中,[237]新北市三峽區中正路二段399號,121.3639204,24.9068496
市立秀峰高中,[221]新北市汐止區忠孝東路201號,121.660878,25.0657373
市立金山高中,[208]新北市金山區美田里文化二路2號,121.63743,25.22422
市立安康高中,[231]新北市新店區安興路25號,121.5152906,24.9698725
市立雙溪高中,[227]新北市雙溪區梅竹蹊3號,121.86174,25.036791
市立石碇高中,[223]新北市石碇區隆盛里八分寮45號,121.642129,25.012814
市立丹鳳高中,[242]新北市新莊區龍安路72號,121.416544,25.021049
市立清水高中,[236]新北市土城區明德路一段72號,121.4653601,24.9822978
市立三民高中,[247]新北市蘆洲區三民路96號,121.4731687,25.0859048
市立錦和高中,[235]新北市中和區錦和路163號,121.4910843,24.9925436
市立光復高中,[220]新北市板橋區光環路一段7號,121.4821605,25.0165515
市立竹圍高中,[251]新北市淡水區竹林路 35 號,121.4616466,25.1458367
市立北大高級中學,[237]新北市三峽區大義路277號,121.3774018,24.9466537
市立鶯歌工商,[239]新北市鶯歌區中正三路154號,121.335057,24.9393432
市立樟樹實中,[221]新北市汐止區樟樹二路135號,121.6401651,25.0659745
私立育達家商,[105]臺北市松山區美仁里寧安街12號,121.554371,25.0497049
市立西松高中,[105]臺北市松山區鵬程里健康路325巷7號,121.567082,25.0555538
市立中崙高中,[105]臺北市松山區八德路四段101號,121.5611946,25.0487226
臺北市私立協和祐德高級中學,[110]臺北市信義區忠孝東路5段790巷27號,121.58347,25.042601
市立松山高中,[110]臺北市信義區基隆路一段156號,121.5656556,25.0435854
市立永春高中,[110]臺北市信義區松隆里松山路654號,121.5802182,25.0312574
市立松山家商,[110]臺北市信義區松山路655號,121.58013,25.0348279
市立松山工農,[110]臺北市信義區忠孝東路5段236巷15號,121.5722409,25.0399981
國立師大附中,[106]臺北市大安區和安里信義路3段143號,121.540488,25.0336585
私立延平中學,[106]臺北市大安區和安里建國南路1段275號,121.5384815,25.0362907
私立金甌女中,[106]臺北市大安區光明里杭州南路2段1號,121.5241519,25.034737
私立復興實驗高中,[106]臺北市大安區敦化南路1段262 號,121.5483831,25.0393604
