popup,lat,lng
臺北市中正區忠孝西路1段120號1樓,25.0473639,121.5117532
臺北市中正區信義路2段163號,25.0340699,121.528913
臺北市萬華區漢中街173號,25.0413279,121.507015
臺北市萬華區長沙街2段156、158、160、162號,25.0407539,121.5010289
臺北市萬華區廣州街67號,25.0366019,121.5046124
臺北市中正區重慶南路2段43號,25.0318307,121.5146612
臺北市中正區廈門街76號,25.0246327,121.5173708
臺北市大安區和平東路1段155號,25.026618,121.53114
臺北市中正區忠孝西路1段1號,25.0459863,121.519409
臺北市中山區中山北路1段142號,25.0514825,121.522115
臺北市大同區迪化街1段38號,25.054789,121.509986
臺北市大同區重慶北路2段15號,25.0546485,121.5144792
臺北市中正區北平東路2號(行政院內),25.0466755,121.5215467
臺北市中正區羅斯福路4段74號(B1),25.0144181,121.5344946
臺北市中正區博愛路168號之1,25.039177,121.51098
臺北市中正區重慶南路1段122號(總統府內),25.0400826,121.5119547
臺北市中山區中山北路2段96號,25.0594178,121.5225276
臺北市松山區八德路4段626號,25.0498136,121.5741652
臺北市中正區博愛路127號(司法大廈內),25.038017,121.512141
臺北市大同區民權西路246號,25.0627732,121.5127173
臺北市大安區和平東路1段162號,25.0259513,121.5274888
臺北市大安區羅斯福路4段1號(台灣大學內),25.0186352,121.5374334
臺北市大安區仁愛路3段47號,25.0386721,121.5356019
臺北市中正區濟南路1段1號,25.043252,121.5198947
臺北市大安區信義路4段74號,25.0330759,121.5464175
臺北市中山區建國北路2段33號,25.0550136,121.5373028
臺北市士林區文林路162號,25.089177,121.5268704
臺北市文山區羅斯福路6段389號,24.9927249,121.5409233
臺北市中正區南昌路2段232號,25.0236748,121.5247112
臺北市萬華區東園街148、150號,25.0233783,121.4975532
臺北市大安區新生北路1段7之2號,25.0448483,121.5331935
臺北市中正區信陽街8號,25.0445958,121.5159941
臺北市中山區復興北路40號,25.0495707,121.5437786
臺北市萬華區莒光路210號,25.0313869,121.501124
臺北市松山區八德路3段240號,25.047932,121.557611
臺北市中山區北安路518巷14弄18、20號,25.0790058,121.5454534
臺北市中正區忠孝西路1段120號1樓,25.0473639,121.5117532
臺北市士林區延平北路5段150號,25.0824998,121.5104478
臺北市大安區信義路4段337號,25.0334299,121.556385
臺北市大安區四維路198巷38弄12號,25.026504,121.545929
臺北市松山區敦化北路340-9號(松山機場內 ),25.0630038,121.5519946
臺北市中山區長安東路2段97號,25.0485868,121.5348468
臺北市大同區承德路3段83號,25.0658588,121.5186145
臺北市松山區南京東路5段311號,25.0515829,121.5667019
臺北市信義區市府路1號地下2樓(台北市政府內),25.0375417,121.5644327
臺北市大同區重慶北路3段338號,25.07606,121.5136689
臺北市信義區松德路300號,25.0320543,121.574243
臺北市士林區中山北路7段130號,25.1226571,121.5321676
臺北市大安區大安路1段52巷16號,25.0430487,121.5456144
臺北市信義區莊敬路418號之1,25.0270985,121.5663467
臺北市中山區松江路364號,25.0620648,121.5329644
臺北市松山區民生東路5段12號,25.0581482,121.5559691
