縣市,鄉鎮,lat,lng
台中市,北屯區,24.174072,120.731384
台中市,西屯區,24.179688,120.631104
台中市,北區,24.162292,120.687378
台中市,西區,24.145508,120.663513
台中市,南屯區,24.14209,120.616516
台中市,中區,24.148499,120.682678
台中市,東區,24.137878,120.697327
台中市,南區,24.118896,120.665894
台中縣,和平鄉,24.287109,121.160522
台中縣,大甲鎮,24.384888,120.647888
台中縣,大安鄉,24.363098,120.594788
台中縣,外埔鄉,24.338074,120.665283
台中縣,后里鄉,24.308289,120.706909
台中縣,清水鎮,24.295288,120.580627
台中縣,東勢鎮,24.24707,120.832214
台中縣,神岡鄉,24.265686,120.672974
台中縣,梧溪鎮,24.247681,120.526001
台中縣,石岡鄉,24.25592,120.792114
台中縣,豐原市,24.251526,120.736023
台中縣,沙鹿鎮,24.231079,120.591431
台中縣,新社鄉,24.172119,120.83197
台中縣,大雅鄉,24.226501,120.640381
台中縣,龍井鄉,24.195313,120.539978
台中縣,潭子鄉,24.215515,120.708984
台中縣,大肚鄉,24.141724,120.552124
台中縣,太平鄉,24.112305,120.769592
台中縣,烏日鄉,24.091492,120.623596
台中縣,大里鄉,24.099121,120.696716
台中縣,霧峰鄉,24.043091,120.722595
台北市,北投區,25.135925,121.517578
台北市,士林區,25.111511,121.532593
台北市,內湖區,25.086304,121.590271
台北市,中山區,25.066284,121.53772
台北市,松山區,25.046692,121.565186
台北市,大同區,25.070129,121.513611
台北市,南港區,25.029907,121.62207
台北市,延平區,25.056274,121.510193
台北市,建成區,25.052673,121.51593
台北市,城中區,25.041687,121.517517
台北市,龍山區,25.0401,121.501404
台北市,大安區,25.03009,121.548218
台北市,雙園區,25.023315,121.495422
台北市,古亭區,25.018127,121.526306
台北市,木柵區,24.988098,121.581604
台北市,景美區,25.000671,121.547791
台南市,安南區,23.052124,120.150574
台南市,北區,23.011108,120.192871
台南市,安平區,22.990112,120.161316
台南市,東區,22.979919,120.220703
台南市,西區,22.986511,120.191772
台南市,中區,22.987915,120.206604
台南市,南區,22.947083,120.18512
台南縣,白河鎮,23.351318,120.461121
台南縣,後壁鄉,23.361328,120.34491
台南縣,鹽水鎮,23.286316,120.243774
台南縣,新營市,23.316101,120.299377
台南縣,東山鄉,23.27832,120.432495
台南縣,北門鄉,23.243286,120.137878
台南縣,柳營鄉,23.271912,120.35199
台南縣,學甲鎮,23.248474,120.185974
台南縣,六甲鄉,23.217102,120.380005
台南縣,下營鄉,23.228882,120.260193
台南縣,將軍鄉,23.204285,120.122009
台南縣,楠西鄉,23.179321,120.519104
台南縣,南化鄉,23.091125,120.544922
台南縣,麻豆鎮,23.173706,120.23999
台南縣,官田鄉,23.184082,120.357788
台南縣,佳里鎮,23.176331,120.179993
台南縣,大內鄉,23.141907,120.398376
台南縣,七股鄉,23.137329,120.10498
台南縣,玉井鄉,23.1203,120.468872
台南縣,善化鎮,23.141296,120.298828
台南縣,西港鄉,23.136719,120.204285
台南縣,山上鄉,23.090271,120.375
台南縣,安定鄉,23.099121,120.227417
台南縣,新市鄉,23.082703,120.286987
台南縣,左鎮鄉,23.027283,120.409424
台南縣,新化鎮,23.033325,120.337585
台南縣,永康鄉,23.028503,120.251099
台南縣,歸仁鄉,22.953674,120.294922
台南縣,關廟鄉,22.942078,120.334473
台南縣,龍崎鄉,22.962708,120.391785
台南縣,仁德鄉,22.93811,120.233704
宜蘭縣,頭城鎮,24.926697,121.85553
宜蘭縣,礁溪鄉,24.812927,121.723389
宜蘭縣,頭城鎮,24.841675,121.94873
宜蘭縣,壯圍鄉,24.754272,121.801514
宜蘭縣,員山鄉,24.74353,121.672913
宜蘭縣,宜蘭市,24.750916,121.758789
宜蘭縣,大同鄉,24.599915,121.544189
宜蘭縣,五結鄉,24.695496,121.7948
宜蘭縣,三星鄉,24.669495,121.662781
宜蘭縣,羅東鎮,24.678101,121.775208
宜蘭縣,冬山鄉,24.612915,121.753479
宜蘭縣,蘇澳鎮,24.495117,121.83429
宜蘭縣,南澳鄉,24.457275,121.644104
花蓮縣,秀林鄉,24.146912,121.518494
花蓮縣,新城鄉,24.033691,121.617981
花蓮縣,花蓮市,23.990906,121.603088
花蓮縣,吉安鄉,23.958496,121.563904
花蓮縣,壽豐鄉,23.83429,121.529724
花蓮縣,萬林鄉,23.705872,121.329102
花蓮縣,鳳林鎮,23.742126,121.464905
花蓮縣,豐濱鄉,23.54071,121.493713
花蓮縣,光復鄉,23.647705,121.441589
花蓮縣,瑞穗鄉,23.53772,121.408997
花蓮縣,卓溪鄉,23.397095,121.168884
花蓮縣,玉里鎮,23.358093,121.358521
花蓮縣,富里鄉,23.190308,121.296326
南投縣,仁愛鄉,24.026306,121.144714
南投縣,國姓鄉,24.011902,120.870728
南投縣,埔里鎮,23.987915,120.956604
南投縣,草屯鎮,23.977722,120.735779
南投縣,中寮鄉,23.903931,120.781921
南投縣,南投市,23.91748,120.683289
南投縣,魚池鄉,23.878723,120.93158
南投縣,水里鄉,23.761902,120.873718
南投縣,名間鄉,23.84729,120.678223
南投縣,信義鄉,23.6297,121.02301
南投縣,集集鎮,23.833679,120.784119
南投縣,竹山鎮,23.688904,120.728821
南投縣,鹿谷鄉,23.738708,120.776184
屏東縣,高樹鄉,22.81488,120.596924
屏東縣,三地鄉,22.713684,120.703796
屏東縣,霧臺鄉,22.769897,120.804504
屏東縣,里港鄉,22.797302,120.512207
屏東縣,鹽埔鄉,22.745483,120.570618
屏東縣,九如鄉,22.737122,120.495972
屏東縣,長治鄉,22.691284,120.562012
屏東縣,屏東市,22.662476,120.48291
屏東縣,內埔鄉,22.656128,120.595276
屏東縣,瑪家鄉,22.670715,120.689392
屏東縣,麟洛鄉,22.651672,120.535095
屏東縣,泰武鄉,22.601929,120.693298
屏東縣,萬巒鄉,22.582092,120.59021
屏東縣,竹田鄉,22.576477,120.524231
屏東縣,萬丹鄉,22.535278,120.480591
屏東縣,來義鄉,22.503906,120.688782
屏東縣,潮洲鎮,22.533508,120.557678
屏東縣,新園鄉,22.515076,120.455627
屏東縣,崁頂鄉,22.514893,120.49823
屏東縣,新埤鄉,22.484497,120.581787
屏東縣,南州鄉,22.476318,120.517395
屏東縣,東港鎮,22.464111,120.47168
屏東縣,林邊鄉,22.43512,120.513489
屏東縣,春日鄉,22.405701,120.703613
屏東縣,佳冬鄉,22.429321,120.545715
屏東縣,枋寮鄉,22.404724,120.595093
屏東縣,獅子鄉,22.268127,120.749817
屏東縣,琉球鄉,22.343872,120.369507
屏東縣,枋山鄉,22.247925,120.664307
屏東縣,牡丹鄉,22.132324,120.815308
屏東縣,滿州鄉,22.038513,120.836487
屏東縣,車城鄉,22.07373,120.741211
屏東縣,恆春鎮,21.965088,120.77832
苗栗縣,竹南鎮,24.708496,120.884521
苗栗縣,頭份鎮,24.684509,120.927429
苗栗縣,三灣鄉,24.617493,120.955627
苗栗縣,後龍鎮,24.612488,120.776794
苗栗縣,造橋鄉,24.618286,120.882202
苗栗縣,南莊鄉,24.573914,121.01709
苗栗縣,頭屋鄉,24.571716,120.885681
苗栗縣,獅潭鄉,24.482727,120.920105
苗栗縣,苗栗市,24.562683,120.812683
苗栗縣,西湖鄉,24.533691,120.759888
苗栗縣,通霄鎮,24.503723,120.707581
苗栗縣,公館鄉,24.490723,120.859009
苗栗縣,銅鑼鄉,24.467712,120.799011
苗栗縣,泰安鄉,24.411682,121.083679
苗栗縣,苑裡鎮,24.412292,120.687988
苗栗縣,大湖鄉,24.397888,120.848511
苗栗縣,三義鄉,24.38092,120.774231
苗栗縣,卓蘭鎮,24.322327,120.844727
桃園縣,蘆竹鄉,25.037476,121.296021
