address,lat,lng
320桃園縣中壢市三光路115號,24.962072,121.211168
320桃園縣中壢市中大路300號,24.96842,121.1956658
320桃園縣中壢市中大路300號,24.96842,121.1956658
320桃園縣中壢市中大路300號,24.96842,121.1956658
320桃園縣中壢市中山東路三段203號,24.9427468,24.9375594
320桃園縣中壢市中山東路三段414號,24.9368776,121.2516681
320桃園縣中壢市中山東路三段51號,24.945554,24.9375628
320桃園縣中壢市中山路97號,24.9552838,121.2258193
320桃園縣中壢市中北路31號,24.956151,121.236309
320桃園縣中壢市中央路218號,24.964676,121.1909691
320桃園縣中壢市中平路3號,24.9543262,121.2257522
320桃園縣中壢市中平路861號,24.9553588,121.224438
320桃園縣中壢市中正路149號,24.9551869,121.2217112
320桃園縣中壢市中正路35號,24.954112,121.2243713
320桃園縣中壢市中華路一段227號,24.9731158,121.258967
320桃園縣中壢市中華路一段550號,24.970008,121.251351
320桃園縣中壢市中園路15號,24.9648277,121.2361965
320桃園縣中壢市中園路1922號,24.984799,121.237991
320桃園縣中壢市中園路二段91號,24.9911594,121.2344656
320桃園縣中壢市元化路167號,24.9599931,121.2279354
320桃園縣中壢市元化路二段282號,24.9620477,121.2248235
320桃園縣中壢市六和路48號,24.9644814,121.2240974
320桃園縣中壢市文中路二段51之9號,24.9892501,121.251168
320桃園縣中壢市文化二路252號,24.9768519,121.2511874
320桃園縣中壢市日新路24號,24.954021,121.238858
320桃園縣中壢市日新路80號,24.9548571,121.2399247
320桃園縣中壢市弘揚路90號,24.953769,121.241758
320桃園縣中壢市民權路340號,24.963423,121.217714
320桃園縣中壢市永強街103號,24.9702841,121.2574387
320桃園縣中壢市光復街13號,24.95927,121.2239207
320桃園縣中壢市吉林二路79巷2號,24.9823988,121.2482773
320桃園縣中壢市吉林路68號,24.979705,121.2477741
320桃園縣中壢市成章一街117號,24.9761843,121.2565637
320桃園縣中壢市成章一街156號,24.976299,121.2561524
320桃園縣中壢市自強四路88號,24.9725092,121.2478419
320桃園縣中壢市延平路149號,24.9628266,121.229356
320桃園縣中壢市信義路76號,24.9738164,121.2564949
320桃園縣中壢市南園二路12號,24.9717815,121.2357164
320桃園縣中壢市健行路229號,24.9478097,121.228276
320桃園縣中壢市健行路2號,24.9528066,121.2259248
320桃園縣中壢市莊敬路900號,24.9638651,121.2541924
320桃園縣中壢市復興路161號,24.9538364,121.2236603
320桃園縣中壢市復興路1號,24.9585056,121.225831
320桃園縣中壢市慈惠三街155號,24.9649189,121.2257468
320桃園縣中壢市新中北路243號,24.9592851,121.2398188
320桃園縣中壢市新中北路380號,24.9587549,121.242973
320桃園縣中壢市新中北路二段489號,24.955851,121.2643177
320桃園縣中壢市新生路402號,24.9661432,121.2235988
320桃園縣中壢市新生路80號,24.9589406,121.2226053
320桃園縣中壢市實踐路221號,24.9571549,121.239062
320桃園縣中壢市實踐路86號,24.9555879,121.2407661
320桃園縣中壢市榮安十三街205號,24.9622318,121.2605547
320桃園縣中壢市榮安十五街31號,24.9615894,121.258693
320桃園縣中壢市福州二街409號,24.967862,121.2320253
320桃園縣中壢市福州二街532號,24.9681645,121.2357235
320桃園縣中壢市福星六街30號,24.96652,121.2331176
320桃園縣中壢市遠東路135號,24.9701475,121.263482
320桃園縣中壢市遠東路135號,24.9701475,121.263482
320桃園縣中壢市興仁路二段288號,24.963766,121.264443
320桃園縣中壢市興仁路二段63號,24.9672381,121.2626331
320桃園縣中壢市龍川街3號,24.9346312,121.2492934
320桃園縣中壢市龍岡路一段204號,24.9477302,121.2254179
320桃園縣中壢市龍岡路二段115號,24.94536,121.2293159
320桃園縣中壢市龍岡路二段317號,24.9420849,121.2302729
320桃園縣中壢市龍岡路三段188號,24.935449,121.2338232
320桃園縣中壢市龍東路124號,24.9290759,121.2519321
320桃園縣中壢市環中東路208號,24.9632345,121.2564043
320桃園縣中壢市環中東路561號,24.9578339,121.2495493
320桃園縣中壢市環西路二段300巷27號,24.9640225,121.2137631
320桃園縣中壢區環中東路2351號,24.9556462,121.2553473
324桃園縣平鎮市中豐路山頂段3號,24.8961941,24.8966648
324桃園縣平鎮市中豐路南勢二段1號,24.9095366,24.9123518
324桃園縣平鎮市中豐路南勢二段206號,24.9135841,121.210372
324桃園縣平鎮市文化街193號,24.952526,121.203436
324桃園縣平鎮市北勢里和平路216號,24.9457356,121.2192431
324桃園縣平鎮市平東路571號,24.912582,121.2428
324桃園縣平鎮市平東路一段180號,24.9119435,121.2323349
324桃園縣平鎮市民族路239號,24.9567373,121.2089829
324桃園縣平鎮市民族路二段191號,24.9569189,121.203644
324桃園縣平鎮市育達路75號,24.9515258,121.211302
324桃園縣平鎮市延平路二段15號,24.9502546,121.2141397
324桃園縣平鎮市延平路二段341號,24.9441573,121.2080967
324桃園縣平鎮市金星里中庸路126號,24.9136454,121.20736
324桃園縣平鎮市金陵路三段68號,24.9285118,121.2272321
324桃園縣平鎮市南平路115號,24.9192805,121.2081669
324桃園縣平鎮市振興西路138號,24.9457662,121.2153483
324桃園縣平鎮市振興路116號,24.9454232,121.2218995
324桃園縣平鎮市崇義六街2號,24.9432421,121.2059091
324桃園縣平鎮市廣明路59號,24.9535897,121.2136671
324桃園縣平鎮市廣泰路112號,24.9461164,121.2046631
324桃園縣平鎮市環南路二段37號,24.9442569,121.209908
324桃園縣平鎮市環南路三段93號,24.9401143,121.2182491
325桃園縣龍潭鄉大昌路二段80號,24.8665186,121.2218911
325桃園縣龍潭鄉中正路148號,24.8650199,121.2170968
325桃園縣龍潭鄉中正路1879號,24.864019,121.216539
