address,lat,lng
桃園市八德區長興路76號1樓,24.9306441,121.2827003
桃園市大園區大觀路525號527號1樓,25.0649905,121.18307
桃園市大園區中正東路三段343號,25.0117827,121.2275844
桃園市大園區五青路287號289號1樓,25.0199157,121.2330499
桃園市大園區民生南路167號,25.064018,121.202591
桃園市中壢區青埔里高鐵北路1段6號1,25.0130935,121.215217
桃園市中壢區青埔里高鐵北路1段6號1,25.0130935,121.215217
桃園市中壢區新興里2鄰林森路30號1樓,24.9469575,121.2254163
桃園市中壢區龍昌路270號1號,24.935591,121.249249
桃園市中壢區龍昌路538號1樓,24.9305323,121.2488108
桃園市平鎮區平東路27號東光路16之1號1樓,24.9180329,121.2530309
桃園市平鎮區南京路206號,24.9161786,121.2063717
桃園市桃園區大有路457號459號1樓,25.0119251,121.3188169
桃園市桃園區中正路1號,24.9892245,121.3128926
桃園市桃園區民生路535號1樓,25.0040724,121.3090658
桃園市桃園區同德六街170號1樓,25.0155383,121.2968701
桃園市桃園區莊敬路二段105號1樓,25.0224392,121.2929068
桃園市桃園區龍泉二街65號龍城五街6668號1樓,24.9794785,121.2699394
桃園市龍潭區龍科街228號1,24.8807468,121.1871784
桃園市龍潭區龍園六路101號2樓,24.8832977,121.1860764
桃園市龜山區文化七路179號1樓,25.0517809,121.3674777
桃園市蘆竹區南山路二段48號1樓,25.062193,121.289094
桃園市觀音區大觀路二段65號67號,25.0475004,121.1431335
嘉義縣大林鎮中坑里南華路一段55號1南華大學學慧樓,23.5707642,120.4934991
嘉義縣大林鎮中坑里南華路一段55號1,23.5692779,23.5693126
嘉義縣大林鎮平林里6鄰下潭底235號,23.59704,23.5970777
嘉義縣大林鎮西林里仁愛路23號25號27號1樓,23.6028189,23.6001131
嘉義縣大林鎮忠孝路713號715號1樓,23.606448,23.6065224
嘉義縣大林鎮園區一路46號2樓,23.5885826,120.5059406
嘉義縣大林鎮新興街113號,23.6001644,120.4587882
嘉義縣大林鎮過溪里過溪1號,23.6026724,120.5042145
嘉義縣大埔鄉大埔村大埔276號之6壹樓,23.299008,120.591811
嘉義縣中埔鄉中埔村169號1樓,23.4247221,120.5220186
嘉義縣中埔鄉中華路863號,23.4499756,120.4591721
嘉義縣中埔鄉和美村大義路416號,23.4567524,120.4747027
嘉義縣中埔鄉和美村中山路856號,23.4519373,120.4607251
嘉義縣中埔鄉和睦村司公部420號1樓,23.4510482,120.4813029
嘉義縣中埔鄉金蘭村頂山門412號1樓,23.445085,120.498836
嘉義縣中埔鄉隆興村3鄰汴頭60號,23.4421473,120.5369677
嘉義縣中埔鄉隆興村十字路233號,23.4417243,120.5225359
嘉義縣六腳鄉正義村15鄰下雙溪1612號,23.481448,120.252524
嘉義縣六腳鄉蒜頭村1鄰蒜頭118號,23.479446,120.299717
嘉義縣六腳鄉蘇厝村蘇厝寮1536號,23.554802,120.2987209
嘉義縣太保市太保里太保461號,23.458967,120.3323479
嘉義縣太保市北港路二段190號,23.4983348,120.376244
嘉義縣太保市後潭里後潭4087號4088號一樓,23.454792,120.3456213
嘉義縣太保市高鐵西路168號,23.4591718,120.322967
嘉義縣太保市高鐵西路168號二樓,23.4596175,120.3232091
嘉義縣太保市祥和一路29號,23.4587597,120.2963228
嘉義縣太保市祥和一路東段29號,23.4587597,120.2963228
嘉義縣太保市祥和三路東段226號,23.4543244,120.2944839
嘉義縣太保市麻寮里北港路2段511號,23.5014919,120.3660922
嘉義縣太保市舊埤里1鄰新埤516號,23.4930954,120.3377892
嘉義縣水上鄉中庄村69號,23.4213007,120.4381581
嘉義縣水上鄉中興路380號,23.4308263,120.4007362
嘉義縣水上鄉內溪村中義路992號1樓,23.4345686,120.4356137
嘉義縣水上鄉水上村中正路171號173號,23.4277401,23.4276688
嘉義縣水上鄉民生村忠孝街149號151號,23.4481453,23.4481258
嘉義縣水上鄉回歸村中山路三段167號,23.4531296,120.4146296
嘉義縣水上鄉寬士村崎子頭15915號1樓,23.4462882,120.4297955
嘉義縣水上鄉龍德村十一指厝7590號,23.425209,120.387244
嘉義縣布袋鎮中正路63號,23.3794944,120.1548223
嘉義縣布袋鎮中安里19鄰11號,23.4174332,120.1787349
嘉義縣布袋鎮復興里12鄰新塭1473號,23.3243945,120.1620173
嘉義縣布袋鎮新厝里13鄰新厝仔67之1號,23.382356,120.170308
嘉義縣布袋鎮興中里14鄰上海路177號,23.3791371,120.162118
嘉義縣民雄鄉三興村大學路一段421號,23.558736,120.469791
嘉義縣民雄鄉大崎村十四甲1710號1樓,23.514713,120.472556
嘉義縣民雄鄉文隆村鴨母水土192號,23.538585,120.42148
嘉義縣民雄鄉北斗村北勢子7355號1樓,23.534688,120.4583999
嘉義縣民雄鄉民權路422號1樓,23.558111,120.431273
嘉義縣民雄鄉西安村西安路37號,23.5571354,120.4253308
嘉義縣民雄鄉東榮村文化路36號1樓,23.5534384,120.4302958
嘉義縣民雄鄉東榮村四鄰建國路一段134號,23.557178,120.433981
嘉義縣民雄鄉建國路二段99號977號,23.5343904,120.4362213
嘉義縣民雄鄉福樂村埤頭角221號,23.52419,120.439711
嘉義縣民雄鄉興中村6鄰江厝店541號,23.528222,120.419782
嘉義縣民雄鄉興南村15鄰頭橋557之45,23.5154521,120.4302869
嘉義縣民雄鄉豐收村大學路二段291號,23.5619797,120.4613255
嘉義縣民雄鄉雙福村建國路2段146之61號1樓,23.5374011,120.4365476
嘉義縣朴子市大同路212號,23.4614483,120.2413517
嘉義縣朴子市大鄉里1鄰大木康榔179之4號,23.465072,120.2633159
