address,lat,lng
320桃園縣中壢市中山東路二段44514452號,24.946637,121.244617
320桃園縣中壢市中山東路三段282號,24.9415429,121.2507154
320桃園縣中壢市中山路438號,24.9568362,121.2171058
320桃園縣中壢市中正路1096號,24.966488,121.203877
320桃園縣中壢市中正路1096號,24.966488,121.203877
320桃園縣中壢市中正路483號,24.9571032,121.2133986
320桃園縣中壢市中正路二段359號,24.9793609,121.1933873
320桃園縣中壢市中園路二段544號,25.0006689,121.2298353
320桃園縣中壢市中豐路79791號,24.9581669,24.9426008
320桃園縣中壢市五光一街1號中正路665號,24.9593641,121.2111562
320桃園縣中壢市內定二街9983號,25.0042316,121.251739
320桃園縣中壢市內定二街998之3號,25.0008217,121.2533793
320桃園縣中壢市內定二街998之3號,25.0008217,121.2533793
320桃園縣中壢市民族路4547號,24.9575705,121.2075827
320桃園縣中壢市永福路1055號,24.965236,121.2522119
320桃園縣中壢市永福路603號,24.9602972,121.2557855
320桃園縣中壢市永興街28號,24.957318,121.220415
320桃園縣中壢市吉林路132號,24.983239,121.2504892
320桃園縣中壢市吉林路6971號,24.9790361,24.9790314
320桃園縣中壢市合圳北路二段47號,24.9970939,121.2445563
320桃園縣中壢市合定路11號,24.9881295,121.2422994
320桃園縣中壢市自強一路100102號,24.9732389,121.2444036
320桃園縣中壢市自強一路2226號,24.9732389,121.2444036
320桃園縣中壢市西園路112號,24.9776068,121.2345098
320桃園縣中壢市志廣路81號,24.9608434,121.2068881
320桃園縣中壢市志廣路81號,24.9608434,121.2068881
320桃園縣中壢市延平路268270號,24.9607666,121.225614
320桃園縣中壢市忠孝路107109號,24.9801357,121.2539512
320桃園縣中壢市忠孝路335號,24.9799662,121.25389
320桃園縣中壢市新生路632號,24.9710655,121.224063
320桃園縣中壢市新生路二段332號,24.982661,121.222756
320桃園縣中壢市義民路二段157號,24.9621649,121.217646
320桃園縣中壢市榮民南路301號,24.9507639,121.2571835
320桃園縣中壢市福州一街250252號壹樓全部,24.9674845,121.2332488
320桃園縣中壢市福州二街457號,24.9681722,121.2332226
320桃園縣中壢市龍和一街240號,24.939753,121.2451935
320桃園縣中壢市龍岡路三段117號,24.9370306,121.2329004
320桃園縣中壢市龍東路264之1號,24.9308161,121.2534336
320桃園縣中壢市龍東路2號,24.928013,121.249371
320桃園縣中壢市龍東路750號,24.9383822,121.261598
320桃園縣中壢市環北路1號,24.9659939,121.216738
324桃園縣平鎮市大勇街64號,24.9274599,121.223853
324桃園縣平鎮市中豐路687號,24.9334558,121.2150525
324桃園縣平鎮市中豐路山頂段2號,24.898958,121.211593
324桃園縣平鎮市中豐路山頂段358號,24.8940152,121.2107651
324桃園縣平鎮市中豐路山頂段一巷2號,24.9064462,24.9050738
324桃園縣平鎮市民族路135號,24.9561327,121.2116822
324桃園縣平鎮市民族路雙連二段110112號,24.959748,24.958275
324桃園縣平鎮市圳南路2號,24.9242403,121.2435786
324桃園縣平鎮市自由街215217號,24.895903,121.2046489
324桃園縣平鎮市東豐路127129131號,24.917755,121.250224
324桃園縣平鎮市南平路二段526號,24.9223018,121.1914031
324桃園縣平鎮市南豐路112號,24.9002765,121.2078108
324桃園縣平鎮市南豐路259號,24.8994949,121.2049767
324桃園縣平鎮市洪圳路3782號,24.904407,121.2489224
324桃園縣平鎮市高雙路2號,24.9587437,121.191939
324桃園縣平鎮市陸光路180號,24.9453453,121.1858942
324桃園縣平鎮市陸光路180號,24.9453453,121.1858942
324桃園縣平鎮市復旦路二段206號,24.946109,121.200689
324桃園縣平鎮市廣泰路75號,24.9468838,121.2054179
324桃園縣平鎮市龍安路141號壹樓全部,24.91898,121.250484
324桃園縣平鎮市關爺西路111號,24.9320812,121.2159769
325桃園縣龍潭鄉中正路613號,24.8547157,121.2202644
325桃園縣龍潭鄉中正路上華段108110號,24.8528154,24.8534469
325桃園縣龍潭鄉中原路一段506號,24.8480099,121.1991489
325桃園縣龍潭鄉中原路三段53號,24.8285413,24.828057
325桃園縣龍潭鄉中興路209號,24.8744363,24.8744592
325桃園縣龍潭鄉中興路335號,24.8735269,121.232839
325桃園縣龍潭鄉中興路649651號,24.8745566,24.8726361
325桃園縣龍潭鄉中豐路529531號,24.8832919,24.881527
325桃園縣龍潭鄉中豐路596號,24.8857238,24.8857238
325桃園縣龍潭鄉中豐路711號,24.8884891,121.2124018
325桃園縣龍潭鄉中豐路高平段321327號,24.8325119,24.8358127
325桃園縣龍潭鄉中豐路高平段418號,24.8325119,24.8325546
325桃園縣龍潭鄉五福街3133號,24.864935,121.222298
325桃園縣龍潭鄉神龍路234236號,24.8594777,121.2136491
325桃園縣龍潭鄉聖亭路122124號壹樓部份,24.8674361,121.2072269
326桃園縣楊梅市大成路215217號,24.9133126,121.1456703
326桃園縣楊梅市中山南路558號,24.905545,24.90456
326桃園縣楊梅市幼獅路二段1號,24.930443,121.1725238
326桃園縣楊梅市幼獅路二段388號,24.9373979,24.9373949
326桃園縣楊梅市民族路五段149號,24.9587115,121.1736438
326桃園縣楊梅市民富路一段368370號,24.9186826,121.1349058
326桃園縣楊梅市和平路2號,24.9469399,24.9437017
326桃園縣楊梅市青年路二段145號,24.9301471,121.1670629
326桃園縣楊梅市高獅路899號,24.9232251,121.1687069
326桃園縣楊梅市梅高路26號壹樓全部,24.9155372,121.1443385
326桃園縣楊梅市梅獅路二段135號,24.907365,121.1764054
326桃園縣楊梅市梅獅路二段447號,24.9015929,121.1816769
326桃園縣楊梅市富岡里成功路二號,24.9349449,24.93513
